cartodb_id,animalname,count,ntacode,r,the_geom
7921,LUCY,7,BK09,1,
18952,LUNA,6,BK09,2,
1043,MAX,6,BK09,3,
61525,OSCAR,6,BK09,4,
66915,BELLA,6,BK09,5,
45736,ELLA ,5,BK09,6,
35433,LULU,5,BK09,7,
67656,SCOUT,5,BK09,8,
10615,PHOEBE,5,BK09,9,
29339,ELLIE,5,BK09,10,
30909,CHLOE,12,BK17,1,
45447,BELLA,11,BK17,2,
58350,CHARLIE,9,BK17,3,
78217,LUCKY,9,BK17,4,
22455,MAX,8,BK17,5,
70379,BELLA ,8,BK17,6,
37297,ROCKY,7,BK17,7,
67350,HOLLY,7,BK17,8,
46054,LOLA,7,BK17,9,
54425,BABY ,6,BK17,10,
18807,REMY ,3,BK19,1,
23389,MAYA,3,BK19,2,
8013,ROMEO,3,BK19,3,
757,LUCY,3,BK19,4,
7909,MARS,3,BK19,5,
12965,ROCKY,3,BK19,6,
11099,NAME,2,BK19,7,
48812,NOLA,2,BK19,8,
13564,ERNIE,2,BK19,9,
19286,GOCHA ,2,BK19,10,
51581,LUCKY,5,BK21,1,
9047,MAX,5,BK21,2,
64284,BELLA,5,BK21,3,
51732,BUDDY,4,BK21,4,
21390,LUCKY ,4,BK21,5,
49190,GIZMO,4,BK21,6,
7717,TEDDY ,3,BK21,7,
40446,SANDY,3,BK21,8,
21496,COOKIE,3,BK21,9,
68624,DJANGO,3,BK21,10,
30675,LOLA,8,BK23,1,
56786,MAX,7,BK23,2,
28862,ZOE,7,BK23,3,
23413,CHARLIE,6,BK23,4,
54858,LUCY,6,BK23,5,
22528,COCO ,4,BK23,6,
74618,COOKIE,4,BK23,7,
3522,LUCKY,4,BK23,8,
45839,BENTLEY,4,BK23,9,
43533,MICKY,3,BK23,10,
30728,ROCKY,6,BK25,1,
54843,CHARLIE,6,BK25,2,
57728,PRINCESS,4,BK25,3,
75413,LUCKY,4,BK25,4,
44950,TOBY,4,BK25,5,
49582,BABY,3,BK25,6,
64663,ROXY,3,BK25,7,
3546,SASHA,3,BK25,8,
50790,OREO ,2,BK25,9,
23510,PATIENCE,2,BK25,10,
68325,MAX,8,BK26,1,
32240,LUCKY,7,BK26,2,
73113,ROCKY,5,BK26,3,
30308,MOLLY,4,BK26,4,
39389,COCO,4,BK26,5,
51218,TEDDY,4,BK26,6,
69299,DAISY,4,BK26,7,
29299,PRINCE ,4,BK26,8,
6283,BABY,4,BK26,9,
20741,BELLA ,3,BK26,10,
47650,CHARLIE,5,BK27,1,
67437,LUCKY,5,BK27,2,
15563,COOKIE,4,BK27,3,
27125,LUNA,4,BK27,4,
4542,DAISY ,4,BK27,5,
13168,ANGEL,4,BK27,6,
36277,LUCY,3,BK27,7,
34083,DAISY,3,BK27,8,
47998,HAZEL,3,BK27,9,
55326,TARZAN,3,BK27,10,
32294,BELLA,11,BK28,1,
55849,MAX,10,BK28,2,
3038,BUDDY,8,BK28,3,
40493,ROCKY,8,BK28,4,
24976,CHARLIE,7,BK28,5,
4432,LUCKY,6,BK28,6,
7371,HAPPY,6,BK28,7,
15617,GIZMO,5,BK28,8,
1328,MAX ,5,BK28,9,
13032,BELLA ,5,BK28,10,
4652,MAX,14,BK29,1,
19567,ROCKY,8,BK29,2,
68032,BELLA,7,BK29,3,
76058,CHARLIE,7,BK29,4,
27649,COOKIE,6,BK29,5,
46118,ROXY,5,BK29,6,
13029,CHLOE,5,BK29,7,
39179,LULU,4,BK29,8,
73194,PRINCESS,4,BK29,9,
29812,MISSY,4,BK29,10,
35955,BELLA,9,BK30,1,
32701,UNKOWN,6,BK30,2,
10362,LOUIE,5,BK30,3,
51927,MAX,5,BK30,4,
