BoroughCode,HouseNumber,StreetName,ZipCode
STATEN ISLAND,915,VICTORY BOULEVARD,10301
QUEENS,6507,WOODHAVEN BLVD,11374
BRONX,730,E 149TH ST,10455
QUEENS,10214,JAMAICA AVENUE,11418
MANHATTAN,334,GRAND STREET,10002
BRONX,1182,EAST GUNHILL ROAD,10469
MANHATTAN,20,WEST 38 STREET,10018
MANHATTAN,299,7TH AVE,10001
MANHATTAN,85,ORCHARD STREET,10002
MANHATTAN,558,11TH AVE,10036
MANHATTAN,870,7 AVE,10019
MANHATTAN,1026,3 AVENUE,10065
MANHATTAN,170,JOHN STREET,10038
QUEENS,9537,SUTPHIN BOULEVARD,11435
BRONX,2387,WASHINGTON AVENUE,10458
QUEENS,4317,BEACH CHANNEL DR,11691
STATEN ISLAND,1549,ARTHUR KILL RD,10312
MANHATTAN,80,SPRING STREET,10012
MANHATTAN,695,ST NICHOLAS AV,10030
MANHATTAN,513,3 AVENUE,10016
MANHATTAN,2061,2 AVENUE,10029
BROOKLYN,400,4TH AVE,11215
BROOKLYN,2637,86 STREET,11223
BROOKLYN,2202,86TH ST,11214
MANHATTAN,160,CONVENT AVE,10031
QUEENS,3718,28 AVENUE,11103
MANHATTAN,153,RIVINGTON ST,10002
QUEENS,3712,31ST AVE,11103
QUEENS,5102,NORTHERN BLVD,11377
BRONX,658,CLARENCE AVE,10465
BROOKLYN,200,EASTERN PKWY,11238
MANHATTAN,2286,7TH AVE,10030
QUEENS,11115,LEFFERTS BOULEVARD,11420
QUEENS,4909,25TH AVE,11377
BROOKLYN,907,CHURCH AVE,11218
STATEN ISLAND,215,SCHMIDTS LN,10314
STATEN ISLAND,108,VICTORY BOULEVARD,10301
MANHATTAN,88,10 AVENUE,10011
MANHATTAN,101,PARK AVE,10178
QUEENS,13507,LEFFERTS BOULEVARD,11420
QUEENS,13620,ROOSEVELT AVE,11354
MANHATTAN,1329,2ND AVE,10021
BROOKLYN,10401,FOSTER AVENUE,11236
MANHATTAN,70,KENMARE ST,10012
MANHATTAN,238,WEST   56 STREET,10019
MANHATTAN,180,SPRING STREET,10012
MANHATTAN,150,EAST   44 STREET,10017
QUEENS,2802,42ND ROAD,11101
MANHATTAN,794,AMSTERDAM AVE,10025
QUEENS,12816,LIBERTY AVE,11419
QUEENS,6516,MYRTLE AVENUE,11385
MANHATTAN,225,MURRAY ST,10282
QUEENS,20212,WILLETS POINT BOULEVARD,11360
BROOKLYN,905,CHURCH AVE.,11218
BROOKLYN,112,BERRY STREET,11249
MANHATTAN,2232,3RD AVE,10035
MANHATTAN,1090,AMSTERDAM AVE,10025
STATEN ISLAND,100,STUYVESANT PL,10301
BROOKLYN,6801,4TH AVE,11220
MANHATTAN,1198,1ST AVE,10065
BROOKLYN,623,CHURCH AVE,11218
MANHATTAN,11,TIMES SQUARE,10036
MANHATTAN,721,3 AVENUE,10017
MANHATTAN,583,3 AVENUE,10016
MANHATTAN,341,9TH AVE,10001
QUEENS,4423,DOUGLASTON PKWY,11363
STATEN ISLAND,3161,AMBOY ROAD,10306
MANHATTAN,905,1 AVENUE,10022
MANHATTAN,2893,BROADWAY,10025
BROOKLYN,1204A,FLATBUSH AVE,11226
MANHATTAN,119,EAST   60 STREET,10022
QUEENS,4107,KISSENA BOULEVARD,11355
BROOKLYN,251,5 AVENUE,11215
MANHATTAN,663,9TH AVE,10036
BROOKLYN,150,KENILWORTH PL,11210
QUEENS,24202,61 AVENUE,11362
MANHATTAN,3508,BROADWAY,10031
BROOKLYN,128,WYCKOFF AVENUE,11237
MANHATTAN,201,ALLEN ST,10002
BROOKLYN,4415,8 AVENUE,11220
MANHATTAN,2920,BROADWAY,10027
MANHATTAN,219,E 23RD ST,10010
BROOKLYN,14,DURYEA PLACE,11226
MANHATTAN,15,VANDERBILT AVENUE,10017
BROOKLYN,384,COURT ST,11231
QUEENS,2249,COLLEGE POINT BOULEVARD,11356
QUEENS,36-16,30 AVENUE,11103
BROOKLYN,584,ROCKAWAY AVENUE,11212
STATEN ISLAND,174,SOUTH AVE,10303
MANHATTAN,601,WEST  191 STREET,10040
BROOKLYN,4305,18TH AVE,11218
STATEN ISLAND,1903,VICTORY BLVD,10314
MANHATTAN,1567,LEXINGTON AVE,10029
BRONX,88,E BURNSIDE AVE,10453
BROOKLYN,882,DEKALB AVE,11221
MANHATTAN,1359,1 AVENUE,10021
MANHATTAN,110,WEST  145 STREET,10039
MANHATTAN,7,EAST   53 STREET,10022
QUEENS,4107,KISSENA BOULEVARD,11355
MANHATTAN,2920,BROADWAY,10027
MANHATTAN,128,W 36TH ST,10018
QUEENS,16204,NORTHERN BLVD,11358
QUEENS,7212,NORTHERN BLVD,11372
QUEENS,10801,ROCKAWAY BEACH DRIVE,11694
BROOKLYN,22,BROOKLYN TERMINAL MARKET,11236
MANHATTAN,1678,3 AVENUE,10128
MANHATTAN,364,3RD AVE,10016
MANHATTAN,314,BLEECKER ST,10014
BRONX,805,PROSPECT AVENUE,10455
MANHATTAN,90,W 3RD ST,10012
QUEENS,9910,37 AVENUE,11368
QUEENS,13518,JAMAICA AVE,11418
BROOKLYN,452,3RD AVE,11215
BROOKLYN,1671,FLATBUSH AVE,11210
QUEENS,25305,NORTHERN BOULEVARD,11362
QUEENS,1093,JACKSON AVENUE,11101
MANHATTAN,113,JANE ST,10014
MANHATTAN,233,EAST   14 STREET,10003
MANHATTAN,225,LIBERTY ST,10280
QUEENS,2521,BROADWAY,11106
BRONX,1762,CROSBY AVE,10461
QUEENS,9116,63RD DR,11374
MANHATTAN,340,WEST BROADWAY,10013
QUEENS,14711,45TH AVE,11355
BRONX,969,INTERVALE AVENUE,10459
QUEENS,5376,65TH PL,11378
MANHATTAN,94,GREENWICH STREET,10006
BROOKLYN,4021,5 AVENUE,11232
MANHATTAN,63,BEDFORD STREET,10014
MANHATTAN,4195,BROADWAY,10033
BROOKLYN,1491,BROADWAY,11221
STATEN ISLAND,1559,RICHMOND ROAD,10304
MANHATTAN,701,WEST  180 STREET,10033
MANHATTAN,1076,1 AVENUE,10022
QUEENS,9015,QUEENS BLVD,11373
MANHATTAN,767,9 AVENUE,10019
BRONX,2376,ARTHUR AVE,10458
QUEENS,7254,65TH PL,11385
QUEENS,8239,164 STREET,11432
MANHATTAN,1580,3RD AVE,10128
BROOKLYN,232,NEPTUNE AVENUE,11235
BROOKLYN,9606,AVENUE L,11236
QUEENS,4112,MAIN STREET,11355
MANHATTAN,160,CONVENT AVE,10031
MANHATTAN,98,BOWERY,10013
BROOKLYN,297,BROADWAY,11211
BROOKLYN,1410,AVENUE U,11229
MANHATTAN,1008,2 AVENUE,10022
MANHATTAN,1711,2 AVENUE,10128
BROOKLYN,1617,CHURCH AVENUE,11226
QUEENS,9115,31 AVENUE,11369
MANHATTAN,447,lexington avenue,10017
MANHATTAN,240,E 54TH ST,10022
MANHATTAN,921,BROADWAY,10010
BROOKLYN,163,MONTROSE AVE,11206
MANHATTAN,804,W 187TH ST,10033
QUEENS,4215,COLLEGE POINT BOULEVARD,11355
MANHATTAN,39,GROVE STREET,10014
MANHATTAN,110,WEST THIRD STREET,10012
BRONX,69,FEATHERBED LANE,10452
QUEENS,2007,127TH ST,11356
BROOKLYN,5721,8 AVENUE,11220
MANHATTAN,481,8 AVENUE,10001
MANHATTAN,480,9TH AVE,10018
BROOKLYN,13,MARCUS GARVEY BLVD,11206
MANHATTAN,42,WEST   44 STREET,10036
QUEENS,8265,PARSONS BLVD,11432
BROOKLYN,349,BROADWAY,11211
MANHATTAN,629,2ND AVE,10016
STATEN ISLAND,1809,VICTORY BLVD,10314
BROOKLYN,1209,CORTELYOU ROAD,11218
QUEENS,5906,KISSENA BLVD,11355
MANHATTAN,59,1ST AVE,10003
STATEN ISLAND,2655,RICHMOND AVE,10314
QUEENS,22033,NORTHERN BOULEVARD,11361
QUEENS,71-32A,MAIN STREET,11367
MANHATTAN,26,EAST   63 STREET,10065
MANHATTAN,1292,MADISON AVENUE,10128
MANHATTAN,391,AVENUE OF THE AMERICAS,10014
MANHATTAN,337,LEXINGTON AVE,10016
MANHATTAN,2799,BROADWAY,10025
MANHATTAN,219,DYCKMAN STREET,10034
QUEENS,8000,COOPER AVENUE,11385
MANHATTAN,28,JANE STREET,10014
BROOKLYN,195,STANHOPE ST,11237
BROOKLYN,2556,CONEY ISLAND AVE,11223
MANHATTAN,169,BLEECKER ST,10012
BROOKLYN,120,MONTAGUE ST,11201
MANHATTAN,346,W 40TH ST,10018
MANHATTAN,18,WEST HOUSTON STREET,10012
BROOKLYN,271,KINGSTON AVE,11213
BRONX,961,EAST  174 STREET,10460
QUEENS,4296,MAIN ST,11355
MANHATTAN,1078,1 AVENUE,10022
MANHATTAN,55,WEST   21 STREET,10010
QUEENS,8610,ROOSEVELT AVENUE,11372
QUEENS,4419,BROADWAY,11103
BROOKLYN,295,SMITH STREET,11231
QUEENS,9541,ROOSEVELT AVE,11372
MANHATTAN,83,WEST 115 STREET,10026
STATEN ISLAND,20,WILLOW BROOK ROAD,10302
MANHATTAN,811,8TH AVE,10019
MANHATTAN,591,LEXINGTON AVE,10022
MANHATTAN,558,11TH AVE,10036
MANHATTAN,3891,BROADWAY,10032
QUEENS,11206,LIBERTY AVE,11419
BROOKLYN,68,JAY STREET,11201
BROOKLYN,1655,PITKIN AVENUE,11212
QUEENS,3912,103RD ST,11368
QUEENS,5821,JUNCTION BLVD,11373
BROOKLYN,5204,8TH AVE,11220
MANHATTAN,123,WASHINGTON STREET,10006
BRONX,276,EAST 149 STREET,10451
BROOKLYN,3133,FULTON STREET,11208
BROOKLYN,5401,4 AVENUE,11220
BRONX,2467,GRAND CONCOURSE,10468
MANHATTAN,62,W 22ND ST,10010
MANHATTAN,99,LEXINGTON AVE,10016
MANHATTAN,34,WEST   32 STREET,10001
MANHATTAN,206,THOMPSON STREET,10012
BROOKLYN,705,KINGS HIGHWAY,11223
MANHATTAN,73,8 AVENUE,10014
BRONX,860,EAST TREMONT AVENUE,10460
QUEENS,14932,41ST AVE,11355
MANHATTAN,240,WEST   14 STREET,10011
BROOKLYN,1013,AVENUE H,11230
MANHATTAN,2347,2 AVENUE,10035
BRONX,5921,RIVERDALE AVENUE,10471
MANHATTAN,77,PEARL ST,10004
STATEN ISLAND,1072,BAY STREET,10305
STATEN ISLAND,412,FOREST AVE,10301
BROOKLYN,306,93RD ST,11209
STATEN ISLAND,786,PORT RICHMOND AVENUE,10302
BROOKLYN,950,FOURTH AVENUE,11232
QUEENS,12619,MERRICK BOULEVARD,11434
STATEN ISLAND,189,BROAD ST,10304
BROOKLYN,6329,AVENUE N,11234
MANHATTAN,105,WEST   13 STREET,10011
BROOKLYN,3482,NOSTRAND AVENUE,11229
BROOKLYN,851,E NEW YORK AVE,11203
QUEENS,9409,63RD DR,11374
MANHATTAN,91,7TH AVE S,10014
BROOKLYN,43,BOGART STREET,11206
MANHATTAN,520,8TH AVE,10018
STATEN ISLAND,6390,AMBOY RD,10309
MANHATTAN,1,LITTLE WEST 12 STREET,10014
MANHATTAN,80,ST MARKS PLACE,10003
QUEENS,2551,STEINWAY STREET,11103
MANHATTAN,88,2 AVENUE,10003
STATEN ISLAND,1854,HYLAN BOULEVARD,10305
BROOKLYN,6625,BAY PARKWAY,11204
MANHATTAN,364,WEST  110 STREET,10025
MANHATTAN,2286,7TH AVE,10030
BROOKLYN,66,HICKS STREET,11201
QUEENS,2917,23 AVENUE,11105
BROOKLYN,340,LIVINGSTON ST,11217
QUEENS,6116,FLUSHING AVENUE,11378
MANHATTAN,393,LENOX AVENUE,10027
MANHATTAN,528,COLUMBUS AVENUE,10024
BROOKLYN,134,LAWRENCE ST,11201
MANHATTAN,4195,BROADWAY,10033
MANHATTAN,220,EAST   14 STREET,10003
BROOKLYN,251,JACKSON ST,11211
BROOKLYN,5115,13 AVENUE,11219
BROOKLYN,1422,KINGS HIGHWAY,11229
BROOKLYN,107,GRAHAM AVENUE,11206
QUEENS,96-23,57 AVENUE,11368
QUEENS,10916,FARMERS BLVD,11412
BRONX,602,E 187TH ST,10458
BROOKLYN,113,COURT ST,11201
QUEENS,566,SENECA AVENUE,11385
BROOKLYN,297,BROADWAY,11211
MANHATTAN,630,9 AVENUE,10036
MANHATTAN,205,WEST   34 STREET,10001
MANHATTAN,43,EAST    7 STREET,10003
BRONX,565,E 184TH ST,10458
MANHATTAN,407,PARK AVE S,10016
QUEENS,5455,MYRTLE AVE,11385
QUEENS,109-64,FRANCIS LEWIS BLVD,11429
BRONX,805,ZEREGA AVENUE,10473
MANHATTAN,393,2 AVENUE,10010
MANHATTAN,1297,LEXINGTON AVENUE,10128
MANHATTAN,147,WEST FOURTH STREET,10012
BROOKLYN,1712,SHEEPSHEAD BAY RD,11235
MANHATTAN,1093,2 AVENUE,10022
MANHATTAN,46,ELDRIDGE ST,10002
BROOKLYN,4910,5 AVENUE,11220
BROOKLYN,622,WASHINGTON AVE,11238
QUEENS,4635,VERNON BOULEVARD,11101
BROOKLYN,348,FRANKLIN AVE,11238
MANHATTAN,4,WEST   40 STREET,10018
MANHATTAN,488,8 AVENUE,10001
QUEENS,9017,31ST AVE,11369
BROOKLYN,5124,8TH AVE,11220
MANHATTAN,200,WEST   50 STREET,10019
BROOKLYN,873,SCHENECTADY AVE,11203
QUEENS,6690,FRESH POND ROAD,11385
MANHATTAN,338,WEST   46 STREET,10036
BROOKLYN,108,JAY STREET,11201
MANHATTAN,130,EAST 28 STREET,10016
MANHATTAN,205,EAST   81 STREET,10028
QUEENS,6117,SPRINGFIELD BLVD,11364
MANHATTAN,257,WEST   55 STREET,10019
BROOKLYN,112,SMITH STREET,11201
MANHATTAN,4,W 28TH ST,10001
BROOKLYN,221,SMITH ST,11201
MANHATTAN,1288-1290,1ST AVENUE,10021
BROOKLYN,383,VAN BRUNT ST,11231
QUEENS,25507,NORTHERN BOULEVARD,11362
QUEENS,10202,ATLANTIC AVENUE,11416
QUEENS,7104,KISSENA BOULEVARD,11367
BRONX,842,EAST  180 STREET,10460
QUEENS,4811,VERNON BLVD,11101
QUEENS,7130,ROOSEVELT AVENUE,11372
BROOKLYN,128,METROPOLITAN AVE,11249
MANHATTAN,971,AMSTERDAM AVE,10025
